ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1.0,0.0,-0.0,224.917,-0.155026,-0.0406496,26.9977,38.0018,67.6164,140.312,79.127,34.7955,22.744,17.2831,14.2869,12.4997,11.4183,10.8115,10.5709,0.0406496,0.155026,224.917,0.0,0.0,1.0
1.0,0.0,-0.0,225.039,-0.15072,-0.0404407,26.9059,37.8794,67.4287,139.004,79.4072,34.9499,22.8508,17.3665,14.357,12.5618,11.4756,10.8661,10.6247,0.0404407,0.15072,225.039,0.0,0.0,1.0
1.0,0.0,-0.0,225.16,-0.146433,-0.0402333,26.8144,37.7573,67.2413,137.694,79.6855,35.1035,22.9571,17.4495,14.4267,12.6235,11.5325,10.9205,10.6782,0.0402333,0.146433,225.16,0.0,0.0,1.0
1.0,0.0,-0.0,225.282,-0.142166,-0.0400292,26.7233,37.6355,67.0538,136.381,79.9631,35.2564,23.0629,17.5321,14.4962,12.685,11.5892,10.9746,10.7315,0.0400292,0.142166,225.282,0.0,0.0,1.0
1.0,0.0,-0.0,225.405,-0.137917,-0.039828,26.6323,37.5139,66.8662,135.066,80.2398,35.4087,23.1683,17.6144,14.5653,12.7462,11.6456,11.0284,10.7846,0.039828,0.137917,225.405,0.0,0.0,1.0
1.0,0.0,-0.0,225.526,-0.133687,-0.0396268,26.5418,37.3928,66.6792,133.75,80.514,35.5601,23.273,17.6962,14.6341,12.8071,11.7018,11.0821,10.8374,0.0396268,0.133687,225.526,0.0,0.0,1.0
1.0,0.0,-0.0,225.648,-0.129476,-0.0394255,26.4516,37.2722,66.493,132.432,80.7856,35.7105,23.3772,17.7776,14.7025,12.8678,11.7577,11.1355,10.89,0.0394255,0.129476,225.648,0.0,0.0,1.0
1.0,0.0,-0.0,225.77,-0.125283,-0.0392253,26.3618,37.1521,66.3073,131.112,81.0553,35.86,23.4809,17.8586,14.7707,12.9281,11.8134,11.1886,10.9424,0.0392253,0.125283,225.77,0.0,0.0,1.0
1.0,0.0,-0.0,225.891,-0.121108,-0.0390274,26.2722,37.0321,66.1216,129.791,81.3239,36.0089,23.5841,17.9392,14.8385,12.9882,11.8688,11.2415,10.9945,0.0390274,0.121108,225.891,0.0,0.0,1.0
1.0,0.0,-0.0,226.013,-0.116953,-0.0388319,26.183,36.9125,65.936,128.467,81.5914,36.1571,23.6868,18.0195,14.906,13.048,11.924,11.2942,11.0464,0.0388319,0.116953,226.013,0.0,0.0,1.0
1.0,0.0,-0.0,226.135,-0.112815,-0.0386383,26.094,36.7932,65.7504,127.142,81.8577,36.3046,23.789,18.0994,14.9732,13.1075,11.9789,11.3466,11.0981,0.0386383,0.112815,226.135,0.0,0.0,1.0
1.0,0.0,-0.0,226.256,-0.108694,-0.0384456,26.0053,36.6743,65.5653,125.815,82.1222,36.4514,23.8908,18.179,15.0402,13.1668,12.0336,11.3989,11.1496,0.0384456,0.108694,226.256,0.0,0.0,1.0
1.0,0.0,-0.0,226.378,-0.104591,-0.0382535,25.917,36.5558,65.3808,124.486,82.4821,36.5972,23.992,18.2581,15.1068,13.2258,12.088,11.4509,11.2008,0.0382535,0.104591,226.378,0.0,0.0,1.0
1.0,0.0,-0.0,226.499,-0.100506,-0.0380627,25.829,36.4376,65.1965,123.156,83.192,36.7424,24.0928,18.3369,15.1731,13.2846,12.1422,11.5026,11.2518,0.0380627,0.100506,226.499,0.0,0.0,1.0
1.0,0.0,-0.0,226.62,-0.0964388,-0.0378744,25.7412,36.3197,65.0123,121.824,84.6353,36.8869,24.1931,18.4154,15.2391,13.343,12.1962,11.5542,11.3026,0.0378744,0.0964388,226.62,0.0,0.0,1.0
1.0,0.0,-0.0,226.742,-0.0923884,-0.037688,25.6537,36.2021,64.8282,120.49,159.47,37.0308,24.293,18.4935,15.3048,13.4013,12.2499,11.6055,11.3532,0.037688,0.0923884,226.742,0.0,0.0,1.0
1.0,0.0,-0.0,226.863,-0.0883549,-0.0375029,25.5665,36.0848,64.6443,119.154,157.844,37.174,24.3924,18.5712,15.3702,13.4593,12.3035,11.6566,11.4036,0.0375029,0.0883549,226.863,0.0,0.0,1.0
1.0,0.0,-0.0,226.985,-0.0843382,-0.0373198,25.4796,35.9678,64.4606,117.816,156.215,37.3166,24.4914,18.6487,15.4354,13.517,12.3567,11.7075,11.4537,0.0373198,0.0843382,226.985,0.0,0.0,1.0
1.0,0.0,-0.0,227.106,-0.0803382,-0.0371377,25.393,35.8512,64.2772,116.477,154.582,37.4584,24.5899,18.7258,15.5003,13.5745,12.4098,11.7582,11.5037,0.0371377,0.0803382,227.106,0.0,0.0,1.0
1.0,0.0,-0.0,227.227,-0.0763547,-0.036957,25.3066,35.7349,64.0941,115.136,152.946,37.5996,24.6879,18.8025,15.5649,13.6318,12.4626,11.8087,11.5535,0.036957,0.0763547,227.227,0.0,0.0,1.0
1.0,0.0,-0.0,227.348,-0.0723887,-0.0367786,25.2205,35.6189,63.911,113.793,151.307,37.7402,24.7856,18.8789,15.6292,13.6888,12.5152,11.8589,11.603,0.0367786,0.0723887,227.348,0.0,0.0,1.0
1.0,0.0,-0.0,227.47,-0.068438,-0.0366022,25.1347,35.5031,63.728,112.449,149.664,37.8802,24.8829,18.955,15.6932,13.7456,12.5677,11.909,11.6523,0.0366022,0.068438,227.47,0.0,0.0,1.0
